"street_label","street_type","total_trees","total_length","n_segments","density"
"6100-6200 LANARK ST","Public",23,201.258038121807,2,11.4281149784834
"0-100 E 63RD AV","Public",22,318.317965849887,3,6.91132840751275
"1000 E 63RD AV","Public",22,183.975833301759,2,11.9580923239605
"1700 W 38TH AV","Public",22,215.333163029123,2,10.2167263465241
"1700-1800 E 3RD AV","Public",22,280.540472501328,3,7.84200575547825
"1900 W 35TH AV","Public",22,226.645673063415,1,9.70678138375243
"2500 E 22ND AV","Public",22,169.522017557324,1,12.977665271451
"2500 E 28TH AV","Public",22,159.876077284936,1,13.7606578630216
"2600 E 23RD AV","Public",22,190.284638174196,2,11.5616269453449
"2600-2700 W 42ND AV","Public",22,232.272688277488,1,9.47162585629412
"3200 E 22ND AV","Public",22,198.271476177107,2,11.0958976168354
"3300-3400 W 34TH AV","Public",22,239.639039348532,1,9.1804741246701
"3300-3400 W 38TH AV","Public",22,239.861534060448,1,9.17195834929318
"4700 W 2ND AV","Public",22,435.342019758972,1,5.05349793989111
"5300-5400 ARGYLE ST","Public",22,227.956623436329,2,9.65095888347587
"5700-5900 OLYMPIC ST","Public",22,281.290317738263,2,7.82110105207059
"5800-5900 TODERICK ST","Public",22,173.772196657766,2,12.6602531493158
"5900-6000 DUMFRIES ST","Public",22,181.065125539644,1,12.1503243291227
"6800-6900 LAUREL ST","Public",22,263.79958046985,1,8.339664513801
"800-900 E 53RD AV","Public",22,174.982315665066,1,12.5726990846951
"1300 W 59TH AV","Public",21,271.653487072375,3,7.73043638287813
"1300 W 7TH AV","Public",21,171.977086706604,2,12.2109290267409
"200 W 37TH AV","Public",21,97.1511879197755,2,21.6157933316689
"2500 E 3RD AV","Public",21,186.665927797781,1,11.2500445302207
"2800 W 30TH AV","Public",21,166.429845100441,1,12.6179291865148
"2900 W 16TH AV","Public",21,181.551261859123,2,11.566981019551
"3000 E 24TH AV","Public",21,182.612480906649,3,11.4997616240344
"3100 E 46TH AV","Public",21,158.51029746495,1,13.2483506345344
"400 E 28TH AV","Public",21,197.478646606679,1,10.6340611305819
"4600-4700 BRUCE ST","Public",21,201.395661988844,2,10.4272355186892
"4800 BEATRICE ST","Public",21,163.053029949082,1,12.8792454863046
"700 E 59TH AV","Public",21,228.734111173881,2,9.18096557274573
"700 W 68TH AV","Public",21,280.119224979278,1,7.49680783300522
